Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Faux Burgundy Dahlia Bundle,$ 49.50,potterybarn,https://www.potterybarn.com/products/burgundy-dahlia-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0458/faux-burgundy-dahlia-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Dry Grass Bundle,$ 34.50,potterybarn,https://www.potterybarn.com/products/faux-neutral-dry-grass-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202619/0012/faux-dry-grass-bundle-2-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Yellow Gypsophila Branch,$ 79.50,potterybarn,https://www.potterybarn.com/products/oversized-golden-yellow-gysophilia-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202625/0521/faux-oversized-yellow-gypsophila-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Kiku Flower Bundle,$ 59.50,potterybarn,https://www.potterybarn.com/products/faux-kiku-flower-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202624/0067/faux-kiku-flower-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Cone Hydrangea Bundle,$ 79.50,potterybarn,https://www.potterybarn.com/products/faux-oversized-cone-hydrangea-bundle/?subGroupId=faux-oversized-cone-hydrangea-bundle-SPAF-color-dusty-pink,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0029/img133xl.jpg,2026/7/9,fall,artificial plants
Faux Oversized Cone Hydrangea Bundle,$ 79.50,potterybarn,https://www.potterybarn.com/products/faux-oversized-cone-hydrangea-bundle/?subGroupId=faux-oversized-cone-hydrangea-bundle-SPAF-color-rust,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202623/0078/img233xl.jpg,2026/7/9,fall,artificial plants
Faux Green Grass Bundle,$ 59.50,potterybarn,https://www.potterybarn.com/products/faux-green-grass-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202607/0425/faux-green-grass-bundle-l.jpg,2026/7/9,fall,artificial plants
Faux Oversized Eucalyptus Branch,$ 79.50,potterybarn,https://www.potterybarn.com/products/oversized-burgundy-eucalyptus-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0470/faux-oversized-eucalyptus-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Transitional Blooming Branch,$ 249,potterybarn,https://www.potterybarn.com/products/transitional-blooming-branch/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202621/0899/transitional-blooming-branch-l.jpg,2026/7/9,fall,artificial plants
Faux Dry Grass Bundle,$ 39.50,potterybarn,https://www.potterybarn.com/products/dry-grass-natural-bundle/,https://assets.pbimgs.com/pbimgs/rk/images/dp/wcm/202622/0899/dry-grass-natural-bundle-l.jpg,2026/7/9,fall,artificial plants
